Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
13-Oct-11,46.1,46.1,48.5,47.7,557,49.096,51.824,55.9045
14-Oct-11,48,47.1,48.7,48.5,608,49.058,51.73,55.843
15-Oct-11,47.3,46.1,47.7,47.7,257,48.992,51.627,55.7775
16-Oct-11,47.2,46.5,47.8,46.5,333,48.886,51.518,55.706
17-Oct-11,47.4,46.9,47.4,47.3,28,48.814,51.406,55.6275
18-Oct-11,47.3,47,48.2,47.9,269,48.752,51.3,55.547
19-Oct-11,47.9,47.9,50,48.4,2280,48.692,51.205,55.469
20-Oct-11,48.7,48.2,48.7,48.5,46,48.634,51.111,55.4075
21-Oct-11,48.5,48.4,49.5,49.1,160,48.596,51.019,55.349
22-Oct-11,49.1,48.4,49.2,49,151,48.578,50.924,55.2965
23-Oct-11,49,48.6,49,48.6,135,48.544,50.83,55.2425
24-Oct-11,49,48.7,49.1,49.1,74,48.534,50.747,55.1885
25-Oct-11,49.2,48.8,49.2,48.8,49,48.532,50.661,55.1335
26-Oct-11,48.8,48.3,48.9,48.7,283,48.522,50.579,55.0815
27-Oct-11,48.8,48.5,49.2,48.6,218,48.504,50.499,55.029
28-Oct-11,48.9,48.5,50.5,50,861,48.492,50.429,54.9835
29-Oct-11,50.3,49.2,51,49.2,757,48.484,50.351,54.9325
30-Oct-11,49.9,49.2,49.9,49.2,14,48.468,50.279,54.881
31-Oct-11,49.4,49.2,49.6,49.2,44,48.452,50.209,54.8295
1-Nov-11,49.1,49.1,49.5,49.4,109,48.444,50.147,54.777
2-Nov-11,49.5,49.2,49.9,49.9,213,48.44,50.086,54.7305
3-Nov-11,49.8,49.4,50,50,380,48.444,50.023,54.6825
4-Nov-11,49.6,49.6,50,50,331,48.442,49.955,54.633
5-Nov-11,50.3,49.9,50.5,50,398,48.424,49.895,54.588
6-Nov-11,50,49.8,50,50,193,48.424,49.835,54.5425
7-Nov-11,49.9,49.8,49.9,49.8,4,48.42,49.766,54.497
8-Nov-11,49.8,49.8,50,49.8,382,48.416,49.704,54.451
9-Nov-11,50,49.8,50,50,140,48.422,49.654,54.406
10-Nov-11,49.9,49.9,51,50.9,1052,48.448,49.607,54.3675
11-Nov-11,50.9,50.2,51,50.3,351,48.474,49.55,54.3275
12-Nov-11,50.5,50.4,53.6,52.3,1962,48.548,49.512,54.298
13-Nov-11,52.2,51.7,52.2,51.7,712,48.63,49.475,54.2615
14-Nov-11,51.8,51.4,52.8,51.4,631,48.686,49.449,54.2235
15-Nov-11,51.6,51.3,52.6,51.5,236,48.746,49.437,54.1865
16-Nov-11,52,51.5,52.8,51.5,120,48.826,49.426,54.1465
17-Nov-11,52,51.2,52,51.2,494,48.902,49.432,54.104
18-Nov-11,51.5,50.8,51.5,51,209,48.976,49.44,54.0645
19-Nov-11,50.7,50.1,51,50.5,333,49.056,49.439,54.02
20-Nov-11,50.8,50.8,51.3,50.9,621,49.116,49.446,53.925
21-Nov-11,51.2,50.9,51.2,50.9,38,49.182,49.456,53.8675
22-Nov-11,50.8,50.7,50.9,50.9,51,49.252,49.47,53.8125
23-Nov-11,50.7,50.3,51,51,379,49.342,49.475,53.765
24-Nov-11,50.8,50.1,50.9,50.4,123,49.41,49.459,53.707
25-Nov-11,50.5,50.2,51,50.7,172,49.484,49.451,53.66
26-Nov-11,50.6,50.4,50.6,50.4,63,49.532,49.441,53.612
27-Nov-11,50.4,50.1,50.5,50.4,269,49.596,49.437,53.5645
28-Nov-11,50.4,50.1,50.9,50.9,204,49.662,49.461,53.5245
29-Nov-11,50.9,50.1,50.9,50.4,190,49.72,49.48,53.4855
30-Nov-11,50.4,50.1,50.9,50.5,413,49.752,49.491,53.4455
1-Dec-11,50.4,50.1,50.5,50.4,498,49.82,49.485,53.402
2-Dec-11,50.3,50,50.8,50.5,319,49.876,49.486,53.3615
3-Dec-11,50.6,50.4,51.1,50.8,446,49.922,49.49,53.321
4-Dec-11,50.8,50.1,50.9,50.1,225,49.97,49.481,53.272
5-Dec-11,50.5,50.1,50.8,50.1,253,50.042,49.464,53.229
6-Dec-11,51,50.1,51,50.4,363,50.104,49.459,53.184
7-Dec-11,50.4,50.1,50.5,50.4,261,50.154,49.453,53.1345
8-Dec-11,50.4,50,50.5,50.4,360,50.194,49.443,53.086
9-Dec-11,50.4,50.2,50.4,50.3,76,50.23,49.432,53.035
10-Dec-11,50.3,50,50.5,50,183,50.248,49.422,52.9835
11-Dec-11,50.4,50.1,50.5,50.1,88,50.27,49.424,52.9285
12-Dec-11,50,50,50.4,50.3,196,50.304,49.424,52.8695
13-Dec-11,50.4,50,50.4,50.1,57,50.324,49.429,52.815
14-Dec-11,50,50,52.2,51.9,1830,50.386,49.459,52.7715
15-Dec-11,51.9,51.1,51.9,51.2,223,50.436,49.479,52.723
16-Dec-11,51.4,51.2,51.7,51.5,197,50.494,49.499,52.676
17-Dec-11,51.2,51,51.9,51,414,50.514,49.503,52.6235
18-Dec-11,51,51,51.1,51,138,50.55,49.517,52.5665
19-Dec-11,51.5,50.9,51.5,51.4,84,50.594,49.531,52.517
20-Dec-11,51.3,50.5,51.9,50.9,480,50.628,49.54,52.4635
21-Dec-11,51,50.5,51.8,50.9,359,50.658,49.551,52.408
22-Dec-11,51.4,50.7,52.2,51.5,253,50.69,49.565,52.3605
23-Dec-11,51.3,51.2,51.9,51.9,498,50.728,49.586,52.3135
24-Dec-11,51.8,51.3,52,51.3,164,50.754,49.598,52.2635
25-Dec-11,51.9,51.9,52,51.9,144,50.792,49.608,52.216
26-Dec-11,52.4,51.8,52.4,52,252,50.832,49.628,52.1735
27-Dec-11,52,51.9,52.3,51.9,144,50.874,49.647,52.1285
